company_number,company_name,ticker,former_names,companies_house_url,field,current_value,status,current_source,source_type,internal_crosscheck_value,internal_crosscheck_source,appears_in_files,consolidated_rows_affected,replacement_source_url,replacement_value,agrees_with_current,replacement_source_type,notes
01142830,3i Group,III,,https://find-and-update.company-information.service.gov.uk/company/01142830,ftse_entry_date,1994-09-19,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,1994-09-19; 2009-06-22; 2014-06-23,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,30,,,,,
01142830,3i Group,III,,https://find-and-update.company-information.service.gov.uk/company/01142830,ftse_exit_date,2011-09-19,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,2009-03-23; 2011-09-19,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,30,,,,,
00710383,Abbey Life,ABL,,https://find-and-update.company-information.service.gov.uk/company/00710383,ftse_entry_date,1985-07-01,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,1985-07-01; 1988-07-07,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,1,,,,,
00710383,Abbey Life,ABL,,https://find-and-update.company-information.service.gov.uk/company/00710383,ftse_exit_date,1988-12-21,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,1986-07-01; 1988-12-21,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,1,,,,,
02294747,Abbey National,ANL,,https://find-and-update.company-information.service.gov.uk/company/02294747,ftse_entry_date,1989-07-17,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,1989-07-17,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,15,,,,,
02294747,Abbey National,ANL,,https://find-and-update.company-information.service.gov.uk/company/02294747,ftse_exit_date,2004-11-16,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,2004-11-16,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,15,,,,,
16133984,Aberdeen Asset Management,ABDN,,https://find-and-update.company-information.service.gov.uk/company/16133984,ftse_entry_date,1984-01-02,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,,,deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,13,,,,,
16133984,Aberdeen Asset Management,ABDN,,https://find-and-update.company-information.service.gov.uk/company/16133984,ftse_exit_date,2016-03-21,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,,,deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,13,,,,,
03849958,Admiral Group,ADM,,https://find-and-update.company-information.service.gov.uk/company/03849958,ftse_entry_date,2007-12-24,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,2007-12-24,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,19,,,,,
SC177553,Aggreko,AGK,,https://find-and-update.company-information.service.gov.uk/company/SC177553,ftse_entry_date,2009-12-21,needs_replacement_source,"LSEG, FTSE 100 Historic Additions and Deletions, April 2026",licensed_pdf_no_public_url,2009-12-21,"FTSE100_CANONICAL_DATABASE (internal, not publishable)",deliverables/ftse/ftse_spine.csv; deliverables/consolidated/FTSE100_consolidated.csv,6,,,,,
